Intellectual property right :Patent

Indicator :2 - Total patent grants (direct and PCT national phase entries)

Source: WIPO statistics database. Last updated: December 2015

,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Office,Office (Code),Origin
"United States of America","US","Total",61827,65770,57889,56862,67201,71661,70860,82952,77924,95539,90366,96514,97443,98344,101676,101419,109646,111984,147520,153487,157496,166038,163518,169035,164291,143806,173770,157283,157772,167349,219614,224505,253155,277835,300678,
